,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Broad_Type,nearest_station,Station_Lat,Station_Long,violence_score,top_crimes
1031,8223469,HT457571,08/20/2011 05:00:00 PM,006XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,132,1,2,32,11,1176452.0,1897617.0,2011,02/10/2018 03:50:01 PM,41.8744151,-87.627609439,"(41.8744151, -87.627609439)",non-violent,Central (Green Line),41.887389,-87.76565,0.009259259259259259,
1032,8223448,HT457582,08/20/2011 05:00:00 PM,006XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,132,1,2,32,11,1176452.0,1897617.0,2011,02/10/2018 03:50:01 PM,41.8744151,-87.627609439,"(41.8744151, -87.627609439)",non-violent,Central (Green Line),41.887389,-87.76565,0.009259259259259259,
1033,8223663,HT457794,08/20/2011 07:50:00 PM,015XX N CLYBOURN AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,False,False,1822,18,43,8,11,1170470.0,1910783.0,2011,02/10/2018 03:50:01 PM,41.910676312,-87.649187069,"(41.910676312, -87.649187069)",non-violent,Main (Purple Line),42.033456,-87.679538,0.05263157894736842,
1034,8224278,HT458421,08/21/2011 05:37:00 AM,008XX N STATE ST,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,CTA PLATFORM,False,False,1833,18,42,8,08A,1176223.0,1905805.0,2011,02/10/2018 03:50:01 PM,41.896888586,-87.628203192,"(41.896888586, -87.628203192)",violent,Wellington (Brown & Purple lines),41.936033,-87.653266,0.04891304347826087,
1035,8224543,HT458958,08/21/2011 03:27:00 PM,047XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,1113,11,28,25,11,1144646.0,1901790.0,2011,02/10/2018 03:50:01 PM,41.886524557,-87.744282439,"(41.886524557, -87.744282439)",non-violent,Laramie (Green Line),41.887163,-87.754986,0.03125,
1036,8224644,HT459150,08/21/2011 04:45:00 PM,006XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,132,1,2,32,11,1176452.0,1897617.0,2011,02/10/2018 03:50:01 PM,41.8744151,-87.627609439,"(41.8744151, -87.627609439)",non-violent,Central (Green Line),41.887389,-87.76565,0.009259259259259259,
1037,8224721,HT459172,08/21/2011 05:00:00 PM,006XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,False,False,132,1,2,32,11,1176452.0,1897617.0,2011,02/10/2018 03:50:01 PM,41.8744151,-87.627609439,"(41.8744151, -87.627609439)",non-violent,Central (Green Line),41.887389,-87.76565,0.009259259259259259,
1038,8224641,HT459209,08/21/2011 05:00:00 PM,006XX S STATE ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,False,False,132,1,2,32,26,1176452.0,1897617.0,2011,02/10/2018 03:50:01 PM,41.8744151,-87.627609439,"(41.8744151, -87.627609439)",non-violent,Central (Green Line),41.887389,-87.76565,0.009259259259259259,
1039,8224878,HT459252,08/21/2011 05:30:00 PM,002XX S STATE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA PLATFORM,True,False,123,1,42,32,11,1176411.0,1899396.0,2011,02/10/2018 03:50:01 PM,41.879297705,-87.627706271,"(41.879297705, -87.627706271)",non-violent,Oak Park (Green Line),41.886988,-87.793783,0.189873417721519,
1040,8224729,HT459319,08/21/2011 07:04:00 PM,011XX W ARGYLE ST,0460,BATTERY,SIMPLE,CTA PLATFORM,False,False,2033,20,48,3,08B,1167773.0,1933570.0,2011,02/10/2018 03:50:01 PM,41.973263481,-87.658435722,"(41.973263481, -87.658435722)",violent,Rockwell (Brown Line),41.966115,-87.6941,0.2222222222222222,
1041,8224939,HT459550,08/21/2011 10:17:00 PM,0000X W 79TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,True,False,623,6,6,44,26,1177483.0,1852629.0,2011,02/10/2018 03:50:01 PM,41.750940757,-87.625185222,"(41.750940757, -87.625185222)",non-violent,Illinois Medical District (Blue Line),41.875706,-87.673932,0.20833333333333334,
1042,8224940,HT459544,08/21/2011 10:20:00 PM,0000X E ROOSEVELT RD,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,True,False,132,1,2,32,26,1176859.0,1895074.0,2011,02/10/2018 03:50:01 PM,41.867427761,-87.626192049,"(41.867427761, -87.626192049)",non-violent,Addison (Red Line),41.947428,-87.653626,0.2608695652173913,
1043,8225667,HT459953,08/22/2011 10:00:00 AM,0000X W CTA 95TH ST LN,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,True,False,634,6,21,49,18,1177779.0,1842365.0,2011,02/10/2018 03:50:01 PM,41.722768379,-87.624410361,"(41.722768379, -87.624410361)",non-violent,95th/Dan Ryan (Red Line),41.722377,-87.624342,0.1743119266055046,
